Patient_ID_clean,133K02,5T4,7SK|ENSG00000232512.2,7SK|ENSG00000249352.3,7SK|ENSG00000254144.2,7SK|ENSG00000260682.2,7SK|ENSG00000271765.1,7SK|ENSG00000271814.1,7SK|ENSG00000271818.1,A-C1,A1BG-AS1,A1BG_x,A1BG_y,A1CF_x,A1CF_y,A2M-AS1,A2ML1_x,A2ML1_y,A2MP1,A2M_x,A2M_y,A3GALT2,A4GALT,A4GNT_x,A4GNT_y,AA,AAAS_x,AAAS_y,AACSP1_x,AACSP1_y,AACS_x,AACS_y,AADACL2_x,AADACL2_y,AADACL3_x,AADACL3_y,AADACL4_x,AADACL4_y,AADACP1,AADAC_x,AADAC_y,AADAT_x,AADAT_y,AAED1,AAGAB_x,AAGAB_y,AAK1,AAMDC,AAMP_x,AAMP_y
TCGA-24-2288,529.7681,800.1888,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,68.7708,141.0967,99.2106,1.0,0.5828,-1.0,77.2039,1.7484,1.0,1.0,5785.2137,1.0,-1.0,-1.0,1.7484,1.0,6548.9598,1438.3584,1.0,0.0,1.0,476.733,-1.0,0.0,1.0,0.5828,1.0,8.742,1.0,3.4968,6.9936,1.0,39.0478,-1.0,-1.0,746.5709,-1.0,1.0,1.0,1895.8589,1.0
TCGA-24-2289,318.7806,907.038,0.0,-1.0,2.0,-1.0,1.0,-1.0,-1.0,35.7546,35.4234,44.3696,0.0,0.0,-1.0,117.0117,131.7275,2.0,1.0,10062.5141,2.0,0.0,-1.0,5.2691,1.0,2348.8897,1067.3692,1.0,1.5055,1.0,476.4772,0.0,0.3764,0.0,0.0,2.0,0.7527,2.0,3.3873,29.3564,0.0,77.9074,1.0,-1.0,961.6108,2.0,1.0,2.0,1555.8901,0.0
TCGA-24-2290,252.987,662.0629,0.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,32.4455,17.5118,13.1536,1.0,0.0,0.0,21.9884,0.4385,0.0,0.0,6507.0043,0.0,1.0,-1.0,1.3154,0.0,5666.1186,933.4649,0.0,0.0,-1.0,1241.2584,0.0,0.0,1.0,0.8769,-1.0,0.8769,-1.0,91.6365,37.2684,1.0,42.9683,-1.0,1.0,650.6632,-1.0,-1.0,0.0,1637.1808,-1.0
TCGA-24-2293,303.1872,925.5343,0.0,-1.0,2.0,-1.0,-1.0,0.0,0.0,23.6634,80.5768,113.9037,-1.0,0.2958,2.0,46.9896,2.9579,1.0,1.0,9573.9525,1.0,0.0,-1.0,2.6621,2.0,3913.9244,884.7149,1.0,0.5916,-1.0,763.7359,-1.0,0.0,2.0,0.8874,-1.0,1.479,-1.0,14.198,9.1696,2.0,63.5954,-1.0,-1.0,821.1196,-1.0,0.0,-1.0,2139.7619,0.0
TCGA-24-2297,358.9056,978.3284,0.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,116.6934,144.9678,226.8656,0.0,0.3269,0.0,74.7655,154.6105,0.0,0.0,9402.5659,0.0,1.0,-1.0,0.0,0.0,3829.9611,1203.8702,0.0,0.0,0.0,525.6104,-1.0,0.0,0.0,3.2687,1.0,1.9612,1.0,84.0061,340.6008,0.0,110.4828,0.0,0.0,649.1681,-1.0,0.0,0.0,2337.1359,0.0
TCGA-24-2298,275.7909,872.4209,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,87.0014,82.0186,104.522,-1.0,0.3439,-1.0,77.1802,255.8459,1.0,0.0,13900.8116,0.0,1.0,-1.0,1.0316,1.0,2776.4787,1088.033,1.0,0.0,1.0,1456.3274,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.751,36.795,1.0,33.7001,-1.0,1.0,707.7029,-1.0,0.0,1.0,1920.9078,0.0
TCGA-25-1312,193.3854,609.0198,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,99.5791,100.979,137.7222,1.0,0.0,-1.0,59.2279,5.7727,1.0,1.0,4841.7943,1.0,1.0,-1.0,0.0,1.0,5089.1161,1820.8058,1.0,0.0,0.0,788.4546,1.0,0.0,1.0,0.0,1.0,7.6969,1.0,24.0529,31.7498,1.0,34.1551,-1.0,-1.0,829.3446,-1.0,1.0,1.0,2146.4823,0.0
TCGA-25-1313,267.8431,304.7059,0.0,-2.0,2.0,-1.0,-1.0,0.0,-1.0,12.1569,11.5882,52.1098,1.0,0.3922,-1.0,96.7725,297.2549,1.0,1.0,11245.1882,1.0,-1.0,0.0,0.0,-1.0,1194.902,613.3333,-1.0,0.0,-1.0,693.3333,-1.0,0.0,2.0,0.0,-1.0,0.7843,-1.0,27.0588,96.8627,2.0,18.8235,-1.0,-1.0,1302.3529,1.0,1.0,2.0,1850.9804,0.0
TCGA-25-1314,354.0754,170.6106,-1.0,-1.0,2.0,0.0,0.0,-1.0,0.0,16.3599,204.4026,224.7327,0.0,0.0,0.0,56.0561,2.9214,0.0,0.0,4150.1957,0.0,0.0,-1.0,0.0,0.0,3394.683,842.5358,-1.0,0.2921,2.0,1319.0184,1.0,0.2921,0.0,0.0,0.0,0.0,0.0,1.1686,12.5621,0.0,22.787,-1.0,-1.0,516.7981,-1.0,1.0,1.0,2145.1943,-1.0
TCGA-25-1315,176.1061,251.3303,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,69.9759,33.224,67.4306,-1.0,0.0,-1.0,152.0169,13.9952,1.0,1.0,1977.2928,1.0,2.0,-1.0,0.5831,0.0,2866.9728,1244.4056,1.0,0.0,0.0,878.7813,0.0,0.2916,0.0,0.0,2.0,0.0,2.0,7.5807,72.8916,0.0,78.1398,-1.0,0.0,974.415,-1.0,1.0,0.0,2876.0114,1.0
